run,type,module,name,attrname,attrvalue,value
scenario_200-8-20210826-14:58:03-9280,runattr,,,configname,scenario_200,
scenario_200-8-20210826-14:58:03-9280,runattr,,,datetime,20210826-14:58:03,
scenario_200-8-20210826-14:58:03-9280,runattr,,,experiment,scenario_200,
scenario_200-8-20210826-14:58:03-9280,runattr,,,inifile,omnet-summit.ini,
scenario_200-8-20210826-14:58:03-9280,runattr,,,iterationvars,,
scenario_200-8-20210826-14:58:03-9280,runattr,,,iterationvarsf,,
scenario_200-8-20210826-14:58:03-9280,runattr,,,measurement,,
scenario_200-8-20210826-14:58:03-9280,runattr,,,network,example_simulation,
scenario_200-8-20210826-14:58:03-9280,runattr,,,processid,9280,
scenario_200-8-20210826-14:58:03-9280,runattr,,,repetition,8,
scenario_200-8-20210826-14:58:03-9280,runattr,,,replication,#8,
scenario_200-8-20210826-14:58:03-9280,runattr,,,resultdir,results,
scenario_200-8-20210826-14:58:03-9280,runattr,,,runnumber,8,
scenario_200-8-20210826-14:58:03-9280,runattr,,,seedset,8,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.typename,"""BonnMotionMobility""",
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.traceFile,"""Simulation_data_200_aircraft/mobility.txt""",
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.is3D,true,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.nodeId,-1,
scenario_200-8-20210826-14:58:03-9280,param,,,*.scenarioManager.script,"xmldoc(""Simulation_data_200_aircraft/scenario.xml"")",
scenario_200-8-20210826-14:58:03-9280,param,,,*.aircraft[*].numApps,1,
scenario_200-8-20210826-14:58:03-9280,param,,,*.aircraft[*].app[*].typename,"""UdpTraceBasedApp""",
scenario_200-8-20210826-14:58:03-9280,param,,,*.aircraft[*].app[0].destAddresses,"""groundStation""",
scenario_200-8-20210826-14:58:03-9280,param,,,*.aircraft[*].app[0].traceFile,"""Simulation_data_200_aircraft/data-traffic/data_aircraft_"" + string(parentIndex()) + "".csv""",
scenario_200-8-20210826-14:58:03-9280,param,,,*.aircraft[*].app[0].destPort,1000,
scenario_200-8-20210826-14:58:03-9280,param,,,*.aircraft[*].app[0].messageLength,1000B,
scenario_200-8-20210826-14:58:03-9280,param,,,*.groundStation.numApps,1,
scenario_200-8-20210826-14:58:03-9280,param,,,*.groundStation.app[*].typename,"""UdpSink""",
scenario_200-8-20210826-14:58:03-9280,param,,,*.groundStation.app[*].localPort,1000,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.constraintAreaMinX,0m,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.constraintAreaMaxX,3000000m,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.constraintAreaMinY,0m,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.constraintAreaMaxY,1000000m,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.constraintAreaMinZ,0m,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.constraintAreaMaxZ,18000m,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.typename,"""BonnMotionMobility""",
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.traceFile,"""Simulation_data_100_aircraft/mobility.txt""",
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.is3D,true,
scenario_200-8-20210826-14:58:03-9280,param,,,**.aircraft[*].mobility.nodeId,-1,
scenario_200-8-20210826-14:58:03-9280,param,,,*.scenarioManager.script,"xmldoc(""Simulation_data_100_aircraft/scenario.xml"")",
scenario_200-8-20210826-14:58:03-9280,param,,,**.ipv4.arp.typename,"""GlobalArp""",
scenario_200-8-20210826-14:58:03-9280,param,,,**.**.bitrate,100Mbps,
scenario_200-8-20210826-14:58:03-9280,param,,,**.configurator.typename,"""HostAutoConfigurator""",
