run,type,module,name,attrname,attrvalue,value
scenario_100-0-20210826-14:48:07-7428,runattr,,,configname,scenario_100,
scenario_100-0-20210826-14:48:07-7428,runattr,,,datetime,20210826-14:48:07,
scenario_100-0-20210826-14:48:07-7428,runattr,,,experiment,scenario_100,
scenario_100-0-20210826-14:48:07-7428,runattr,,,inifile,omnet-summit.ini,
scenario_100-0-20210826-14:48:07-7428,runattr,,,iterationvars,,
scenario_100-0-20210826-14:48:07-7428,runattr,,,iterationvarsf,,
scenario_100-0-20210826-14:48:07-7428,runattr,,,measurement,,
scenario_100-0-20210826-14:48:07-7428,runattr,,,network,example_simulation,
scenario_100-0-20210826-14:48:07-7428,runattr,,,processid,7428,
scenario_100-0-20210826-14:48:07-7428,runattr,,,repetition,0,
scenario_100-0-20210826-14:48:07-7428,runattr,,,replication,#0,
scenario_100-0-20210826-14:48:07-7428,runattr,,,resultdir,results,
scenario_100-0-20210826-14:48:07-7428,runattr,,,runnumber,0,
scenario_100-0-20210826-14:48:07-7428,runattr,,,seedset,0,
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.constraintAreaMinX,0m,
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.constraintAreaMaxX,3000000m,
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.constraintAreaMinY,0m,
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.constraintAreaMaxY,1000000m,
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.constraintAreaMinZ,0m,
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.constraintAreaMaxZ,18000m,
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.typename,"""BonnMotionMobility""",
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.traceFile,"""Simulation_data_100_aircraft/mobility.txt""",
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.is3D,true,
scenario_100-0-20210826-14:48:07-7428,param,,,**.aircraft[*].mobility.nodeId,-1,
scenario_100-0-20210826-14:48:07-7428,param,,,*.scenarioManager.script,"xmldoc(""Simulation_data_100_aircraft/scenario.xml"")",
scenario_100-0-20210826-14:48:07-7428,param,,,**.ipv4.arp.typename,"""GlobalArp""",
scenario_100-0-20210826-14:48:07-7428,param,,,**.**.bitrate,100Mbps,
scenario_100-0-20210826-14:48:07-7428,param,,,**.configurator.typename,"""HostAutoConfigurator""",
scenario_100-0-20210826-14:48:07-7428,param,,,**.configurator.interfaces,"""wlan0""",
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.transmitter.communicationRange,800000m,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.ignoreInterference,true,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[*].radio.transmitter.interferenceRange,0m,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[*].radio.transmitter.detectionRange,800000m,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.typename,"""TraceBasedRadio""",
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.Tx_power,42,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.Tx_antenna_gain,3,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.Rx_antenna_gain,3,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.Tx_loss,4,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.Rx_loss,4,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.Noise_figure,6,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.Thermal_noise_density,-174,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.frequency,960,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.SNR_margin,0,
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
scenario_100-0-20210826-14:48:07-7428,param,,,**.wlan[*].typename,"""TdmaInterface""",
scenario_100-0-20210826-14:48:07-7428,param,,,**.slotDuration,2ms,
